,author,title,types,price,review,rate,year
78,Nicholas D. Kristof,The End of Overeating: Taking Control of the Insatiable American Appetite,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.75</span></span>",966,4.3 out of 5 stars,2009
79,John Grisham,The Lacuna: A Novel,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.16</span></span>","1,892",4.3 out of 5 stars,2009
80,Jeff Hertzberg,Crucial Conversations: Tools for Talking When Stakes are High,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.25</span></span>",784,4.5 out of 5 stars,2009
81,Vince Flynn,Half the Sky: Turning Oppression into Opportunity for Women Worldwide,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.35</span></span>","2,222",4.7 out of 5 stars,2009
82,Malcolm Gladwell,The Associate,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.65</span></span>","4,383",4.4 out of 5 stars,2009
83,Nicholas Sparks,Artisan Bread in Five Minutes a Day: The Discovery That Revolutionizes Home Baking,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$2.35</span></span>","2,202",4.7 out of 5 stars,2009
84,Ayn Rand,Three Cups of Tea: One Man's Journey to Change the World... One Child at a Time (Young Reader's Edition),Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.51</span></span>",319,4.5 out of 5 stars,2009
85,Aravind Adiga,Pursuit of Honor,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.99</span></span>","3,827",4.7 out of 5 stars,2009
86,Sue Grafton,What the Dog Saw: And Other Adventures,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$1.59</span></span>","2,192",4.6 out of 5 stars,2009
87,Suzanne Collins,The Last Song,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.75</span></span>","3,802",4.7 out of 5 stars,2009
88,Dan Brown,The Lost Symbol,Hardcover,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.92</span></span>","16,769",4.4 out of 5 stars,2009
89,William P. Young,The Shack: Where Tragedy Confronts Eternity,Paperback,"<span class=""a-size-base""><span class=""p13n-sc-price"">$0.55</span></span>","23,634",4.7 out of 5 stars,2009
